Imagen,MSE,PSNR
12,0.0023956278,74.3366101072356
24,0.0021338118,74.83924242840912
111,0.0020437632,75.02649779076937
108,0.0020181239,75.08132557794166
304,0.0020106004,75.097546263167
350,0.0019903695,75.14146624757504
191,0.0019700022,75.18613650886722
298,0.0019400112,75.2527616106179
314,0.0019395008,75.2539040450459
307,0.0019144291,75.3104106002861
242,0.0019009335,75.34113459142431
88,0.0018861645,75.37500765776565
316,0.0018598016,75.43613744186413
330,0.0018470546,75.46600608437004
138,0.0018350908,75.49422823590204
377,0.0018332652,75.49855064295517
343,0.0018331946,75.49871765901321
155,0.0018277563,75.51162085083742
56,0.001818507,75.53365370610096
283,0.0018164656,75.53853176656304
311,0.0018118748,75.54952142031408
348,0.0018114697,75.55049297099686
207,0.0018079076,75.5590416747593
293,0.0017900459,75.6021619389494
208,0.001771961,75.64626214405806
121,0.0017695412,75.6521968675461
11,0.0017622875,75.67003619768612
375,0.0017521544,75.69507977640977
321,0.0017448922,75.71311748535724
85,0.0017366733,75.73362268973368
152,0.0017316977,75.74608282899457
334,0.0017286767,75.75366587118236
268,0.0017247407,75.76356536644991
354,0.0017180379,75.78047657426602
59,0.0017164461,75.78450177341654
78,0.0017146661,75.78900783616388
210,0.0017061646,75.81059480394705
227,0.0017061497,75.81063240553324
300,0.0017011227,75.8234467880259
309,0.0016959663,75.83663131177134
181,0.001694886,75.83939825985453
217,0.0016804955,75.87643010108087
109,0.0016770121,75.885441759679
209,0.0016743281,75.89239781292648
17,0.0016675817,75.90993200488406
124,0.0016666756,75.9122928112644
369,0.0016648314,75.91710120361921
66,0.0016577739,75.93555078811394
290,0.0016474072,75.96279420207603
347,0.0016376614,75.98856241230342
312,0.0016367082,75.9910910548945
164,0.0016325582,76.00211708263078
146,0.0016317589,76.00424354542263
129,0.0016317087,76.00437731773695
239,0.0016290987,76.01132990518875
10,0.0016286168,76.01261429060064
248,0.0016212473,76.03231112585337
33,0.0016142926,76.05098074520535
262,0.0016142322,76.05114342691269
142,0.0016074069,76.06954530593543
353,0.0015994888,76.0909914132153
30,0.0015927867,76.10922746766187
360,0.0015820512,76.13859842874749
280,0.0015796763,76.1451228073124
196,0.0015796114,76.14530110222876
357,0.0015765564,76.15370872720098
224,0.0015735797,76.16191567683077
368,0.0015653449,76.1847035507197
287,0.0015614172,76.19561386999746
187,0.001558716,76.20313353146534
286,0.0015550726,76.21329651973113
282,0.001546277,76.23793034838262
189,0.0015457692,76.23935732064821
301,0.0015419314,76.25015279018476
376,0.0015383209,76.2603338504901
277,0.0015381756,76.26074470736137
328,0.0015376445,76.26224392226354
222,0.0015339688,76.27263827643235
326,0.0015320589,76.27804885565132
168,0.0015274049,76.2912617840561
39,0.0015246039,76.29923350760339
291,0.0015221203,76.30631346722737
9,0.0015217401,76.3073983549319
226,0.0015214703,76.3081689729248
110,0.0015196523,76.31336102029667
397,0.0015188379,76.31568961217312
386,0.0015178616,76.31848142456815
34,0.0015175329,76.3194224725226
345,0.0015166585,76.32192550841728
267,0.0015160216,76.32374944882842
179,0.0015151845,76.32614816030795
73,0.0015080455,76.3466589862047
104,0.0015053968,76.3542939347758
292,0.0015044145,76.35712821753077
204,0.0014970043,76.3785729287937
165,0.0014942767,76.38649380595808
157,0.0014936195,76.38840419728257
234,0.0014833884,76.41825478605324
4,0.001480868,76.42564015565986
263,0.0014778762,76.43442302268683
131,0.0014775791,76.43529590557017
103,0.0014716131,76.45286732307197
176,0.0014711032,76.45437223154121
117,0.0014490471,76.519978898256
297,0.0014443924,76.5339518399807
362,0.0014420322,76.54105453830547
355,0.0014398142,76.54773922287815
333,0.0014392731,76.54937153779625
385,0.0014378023,76.55381206532856
195,0.0014302196,76.5767760525922
185,0.0014295331,76.57886141102557
338,0.001428341,76.58248481009781
188,0.0014249552,76.59279146788106
317,0.0014248372,76.59315149242781
61,0.0014208388,76.6053557179388
391,0.001419266,76.61016594290855
149,0.0014188036,76.61158066622676
392,0.0014179656,76.61414699717065
96,0.0014140792,76.62606584014921
159,0.0014137181,76.62717506141585
240,0.0014133864,76.62819405201626
68,0.0014109488,76.63569126609174
43,0.0014106572,76.6365889200936
335,0.0014059185,76.65120219080946
156,0.0014056202,76.65212388882497
29,0.00140407,76.65691605057346
14,0.0014014438,76.66504658459418
122,0.0014014009,76.66517969457651
63,0.00139829,76.67483128079412
154,0.001395985,76.68199560762558
251,0.0013910555,76.69735874066444
38,0.0013905314,76.69899512299837
194,0.001387663,76.70796338965859
116,0.00138651,76.71157327734164
308,0.0013853125,76.71532637075289
257,0.0013849871,76.71634619204225
327,0.0013843554,76.7183279263372
303,0.001383299,76.7216428418443
274,0.0013813652,76.727718396163
89,0.0013808575,76.72931522886944
232,0.0013789835,76.73521316769018
212,0.0013783331,76.73726196386372
323,0.0013725327,76.75557704978985
174,0.0013724603,76.75580588355827
148,0.0013723274,76.75622601010232
107,0.0013723273,76.75622688356745
64,0.0013722543,76.75645748143344
15,0.0013706856,76.76142468278664
281,0.0013689784,76.76683722869149
365,0.0013689413,76.76695529142368
380,0.0013678363,76.77046292382359
302,0.0013650984,76.77916376580586
216,0.0013589386,76.79880506308997
44,0.0013568558,76.80546628434797
284,0.0013524739,76.81951496391142
229,0.0013508813,76.82463193474538
320,0.001350858,76.8247067666228
206,0.0013446198,76.84480880987017
219,0.0013428305,76.85059145905838
145,0.0013425082,76.85163435214994
151,0.0013367003,76.87046327284406
372,0.0013355545,76.87418738732683
378,0.001334242,76.878456990224
13,0.0013298615,76.89273966857502
256,0.0013282554,76.89798786775124
318,0.0013263787,76.90412854857516
373,0.0013195248,76.92662785020995
315,0.0013166076,76.93624012271754
186,0.0013131392,76.9476960432395
214,0.0013123141,76.95042616954916
51,0.0013118759,76.95187597697857
349,0.0013030843,76.98107813166129
169,0.0013008507,76.98852927947463
332,0.0012999225,76.99162945487393
346,0.001299195,76.99406012008905
218,0.0012980831,76.99777834312096
86,0.0012969912,77.00143346808792
72,0.001285895,77.0387480997984
136,0.0012810451,77.05515916580649
144,0.0012709771,77.08942686598027
264,0.0012674767,77.10140394707358
235,0.0012654624,77.10831142088604
339,0.0012605698,77.12513435652087
139,0.001260064,77.12687796722027
161,0.0012569346,77.13767645897934
8,0.0012560305,77.14080203426305
351,0.0012516363,77.15602241497722
289,0.0012470828,77.17185041352823
384,0.0012460994,77.17527704892542
173,0.0012393495,77.1988657435804
170,0.0012317207,77.22568138801361
203,0.0012296253,77.2330759942544
100,0.0012255189,77.2476031267638
221,0.0012241894,77.25231742733395
245,0.0012218959,77.26046137672866
198,0.0012189812,77.27083324639781
390,0.0012186015,77.27218644828768
319,0.0012170187,77.27783138828507
67,0.0012168435,77.27845656291134
363,0.0012150962,77.28469686139051
199,0.0012100781,77.3026698258946
7,0.0012070718,77.31347222795598
52,0.0012040974,77.32418737202612
337,0.0012032697,77.32717371442705
236,0.0012016371,77.33307013823783
265,0.0011980848,77.34592849258553
400,0.0011960533,77.35329804506465
101,0.0011950618,77.35689999031133
46,0.0011943246,77.35958019275495
370,0.0011936326,77.36209732161262
147,0.0011902559,77.3744003531918
31,0.0011881007,77.38227098213447
135,0.0011843388,77.39604390276794
93,0.0011819031,77.40498543782196
42,0.0011818018,77.4053572211494
74,0.0011812552,77.40736606761044
65,0.0011809889,77.40834524273015
361,0.0011807142,77.40935560353647
233,0.0011798939,77.41237420323807
123,0.0011792496,77.41474649439414
358,0.0011760922,77.42639028603979
41,0.0011723317,77.4402986064155
106,0.0011719582,77.44168225194953
81,0.0011707031,77.44633571533673
25,0.0011673688,77.45872274393678
296,0.0011657523,77.46474045468298
20,0.0011656428,77.46514892335414
394,0.0011644698,77.46952102540773
91,0.0011628439,77.47558987322614
92,0.001159394,77.48849290645481
220,0.0011569685,77.49758819815762
118,0.0011564827,77.49941201560219
162,0.0011543592,77.50739393703076
150,0.0011515107,77.51812325137162
252,0.0011481361,77.53087003107476
270,0.0011477489,77.5323350381893
336,0.0011472513,77.53421775365933
238,0.0011446074,77.54423806475606
305,0.0011429039,77.55070679134295
71,0.0011422549,77.55317365800742
241,0.0011420636,77.55390035418199
399,0.0011416627,77.55542575219326
95,0.0011401875,77.56104129485098
381,0.0011380649,77.56913379115363
271,0.0011334593,77.58674453989683
133,0.0011321612,77.59172065181392
324,0.0011319516,77.59252559617431
167,0.0011305098,77.59806028567424
295,0.0011299178,77.60033463851425
166,0.0011286818,77.60508835136469
58,0.0011277387,77.60871821494189
244,0.0011262884,77.61430758667467
193,0.0011215456,77.6326343993194
19,0.0011210132,77.63469650982469
342,0.001120181,77.63792110892057
5,0.0011179631,77.6465288002461
364,0.0011156043,77.65570205341285
6,0.0011130557,77.66563468618217
141,0.0011073414,77.68798801885008
294,0.0011061184,77.69278704110654
366,0.0011048792,77.69765588464136
37,0.001103374,77.7035765242881
171,0.0011017852,77.70983458565468
84,0.0010997187,77.71798695966636
35,0.0010989455,77.72104155930626
389,0.0010988445,77.721441762166
306,0.0010977635,77.7257153212952
197,0.0010964769,77.73080884548145
102,0.0010959799,77.73277710953992
175,0.0010957053,77.73386600331813
258,0.0010947094,77.7378151214527
21,0.0010903387,77.75518947723661
119,0.0010873314,77.76718422247764
202,0.0010838532,77.78109913516971
82,0.0010833752,77.78301492973887
125,0.0010832855,77.78337375815619
90,0.0010825946,77.78614460929296
1,0.0010813831,77.79100802642418
128,0.0010786981,77.80180501862478
97,0.0010773735,77.80714053099678
371,0.0010751656,77.81604988056759
205,0.0010741551,77.82013330332128
183,0.0010732114,77.8239509717022
288,0.0010666258,77.85068309708787
113,0.0010662314,77.85228926731484
231,0.0010659527,77.85342397126117
374,0.001065582,77.8549344971607
382,0.001062948,77.86568326635988
177,0.0010597049,77.87895382168455
341,0.0010591149,77.88137253566228
120,0.0010587986,77.88267015057016
325,0.0010501427,77.91832040452901
105,0.0010477897,77.92806228841611
57,0.0010468452,77.93197870463689
54,0.0010467432,77.93240174726022
79,0.0010447779,77.9405636013763
299,0.0010442324,77.94283231171445
115,0.0010440482,77.94359836053766
132,0.001043489,77.94592495955025
160,0.0010391384,77.96406935967137
36,0.0010380857,77.9684720422591
50,0.0010316401,77.99552140333081
230,0.0010302792,78.00125450404968
87,0.001029433,78.00482284826498
387,0.0010195321,78.04679494787403
80,0.0010193648,78.04750738596489
344,0.0010172168,78.05666787576713
83,0.0010161503,78.06122433920073
247,0.0010141002,78.06999489960828
126,0.0009955013,78.15038522620293
273,0.0009910084,78.17003014822885
114,0.0009903662,78.17284592472919
62,0.0009896567,78.17595780774721
213,0.0009889733,78.17895762398237
215,0.0009861144,78.1915308769603
275,0.0009797078,78.21983805559624
137,0.0009773723,78.23020370052588
172,0.0009760859,78.23592297681243
329,0.0009737004,78.246550491706
70,0.00097078696,78.25956422577308
112,0.0009675616,78.27401730373995
75,0.00096518546,78.28469572565189
27,0.00096424675,78.28892169321682
200,0.0009622545,78.29790446927794
266,0.0009596763,78.30955597890863
184,0.0009581502,78.3164676306558
243,0.0009574873,78.31947350362621
18,0.00095712335,78.32112430103548
279,0.00095626886,78.32500336696918
190,0.00095604337,78.32602782157471
356,0.0009511666,78.34823762305032
28,0.0009491554,78.35743007291201
49,0.0009486183,78.35988860487521
22,0.0009472667,78.3660808225203
255,0.00094604626,78.37167989778192
225,0.0009396995,78.40091379074904
55,0.0009340183,78.427249605685
388,0.0009291861,78.44977634179013
223,0.00092576153,78.46581246847711
69,0.00092544005,78.46732059856676
32,0.0009238103,78.47497589618715
393,0.0009210787,78.48783609723253
379,0.000920575,78.49021184665128
253,0.00092025474,78.49172315288128
396,0.00091683015,78.50791499238342
228,0.00090893713,78.54546510906768
278,0.0009077405,78.55118642919614
261,0.00089649484,78.60532573258111
158,0.000895953,78.60795166221669
98,0.0008840278,78.66614425426054
26,0.00088358566,78.66831728114663
16,0.0008829176,78.67160207061286
2,0.00088264525,78.67294160217446
99,0.00087934855,78.68919306164885
94,0.0008756906,78.70729648220652
276,0.00086465024,78.76239873293505
3,0.00086171087,78.77718816072706
127,0.000859841,78.78662222285806
53,0.00085734494,78.79924750686635
254,0.0008528423,78.82211642713366
359,0.0008525313,78.8237004586901
237,0.00084982795,78.83749356956334
192,0.0008486989,78.84326730135112
163,0.0008485191,78.84418756683249
260,0.0008411134,78.88225813875773
60,0.0008366669,78.90527759884195
76,0.00083400356,78.9191247774744
340,0.0008310779,78.93438631129234
178,0.0008286853,78.94690745602293
249,0.0008262205,78.95984404314363
130,0.0008250667,78.96591317601852
48,0.0008223696,78.98013331226123
45,0.0008152126,79.01809460044034
140,0.0008134673,79.02740271920266
383,0.00079645356,79.11919913219708
250,0.00079337927,79.13599516694813
77,0.00078247173,79.19611698910494
23,0.0007822389,79.19740975518353
180,0.00077307853,79.24856772552029
322,0.00076452276,79.29689955990548
272,0.00076028326,79.32104905927504
47,0.000756629,79.34197386540431
285,0.0007561969,79.34445453293239
352,0.0007538125,79.35817010398162
211,0.0007516794,79.37047683868443
246,0.00075152854,79.37134905525551
143,0.00075139594,79.37211512012895
398,0.00072897394,79.50368329754552
134,0.00072481367,79.52853984164588
40,0.0007168266,79.57666278605383
269,0.0007161569,79.5807214666166
331,0.0007034483,79.65848197282892
153,0.0006984611,79.68938141360181
310,0.00069503894,79.71071238782307
313,0.0006643998,79.90650860517836
201,0.0006547981,79.9697295884743
395,0.0006452856,80.03328417925503
259,0.000639774,80.07053765829083
182,0.00062916696,80.14314444033954
367,0.0005784257,80.50832805543266
